@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.27998806745173926
@ MUX %le 63.27998806745176
@ Q2 %le 0.30998589849523894
@ MUY %le 60.30998589849529
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
         "BPM.20R4.B1"        "BPM.21R4.B1"             7772.377          7825.825334                    5           0.11983823    0.001725938729977           0.08002613          16.56428746
         "BPM.21R4.B1"        "BPM.22R4.B1"             7825.825           7879.27385                    5          0.043810428   0.0007961535322929           0.06810781          16.64431359
         "BPM.22R4.B1"        "BPM.23R4.B1"             7879.274          7932.722366                    5          0.093366112   0.0007018017208089           0.19664401           16.7124214
         "BPM.23R4.B1"        "BPM.24R4.B1"             7932.722          7986.170882                    5           0.24541275   0.0006990657392288           0.15519287          16.90906541
         "BPM.24R4.B1"        "BPM.25R4.B1"             7986.171          8039.619398                    5          0.117705404   0.0009325011960375           0.08003715          17.06425828
         "BPM.25R4.B1"        "BPM.26R4.B1"             8039.619          8093.067914                    5          0.045496736   0.0007795815142792           0.06809731          17.14429543
         "BPM.26R4.B1"        "BPM.27R4.B1"             8093.068           8146.51643                    5           0.09037682   0.0009812914374349           0.19660169          17.21239274
         "BPM.27R4.B1"        "BPM.28R4.B1"             8146.516          8199.964946                    5           0.24923453    0.001372989341256           0.15523467          17.40899443
         "BPM.28R4.B1"        "BPM.29R4.B1"             8199.965          8253.413461                    5           0.11585755    0.001368992849686           0.08004817           17.5642291
         "BPM.29R4.B1"        "BPM.30R4.B1"             8253.413          8306.861977                    5          0.044573304   0.0007632833352994           0.06808682          17.64427727
         "BPM.30R4.B1"        "BPM.31R4.B1"             8306.862          8360.310493                    5          0.091249986   0.0009157645589461           0.19655935          17.71236409
         "BPM.31R4.B1"        "BPM.32R4.B1"              8360.31          8413.759009                    5           0.24952884    0.002150602391473           0.15527646          17.90892344
         "BPM.32R4.B1"        "BPM.33R4.B1"             8413.759          8467.207525                    5          0.115174342    0.001717659894072           0.08005921           18.0641999
         "BPM.33R4.B1"        "BPM.34R4.B1"             8467.208          8520.656041                    5          0.043322512   0.0006038364086095           0.06807633          18.14425911
         "BPM.34R4.B1"        "BPM.33L5.B1"             8520.656          8574.104557                    5          0.091109186   0.0003325276892088           0.19651701          18.21233544
         "BPM.33L5.B1"        "BPM.32L5.B1"             8574.105          8627.553073                    5           0.25083287     0.00164054027962           0.15531825          18.40885245
         "BPM.32L5.B1"        "BPM.31L5.B1"             8627.553          8681.001589                    5           0.11593139    0.001687511596481           0.08007025           18.5641707
         "BPM.31L5.B1"        "BPM.30L5.B1"             8681.002          8734.450105                    5          0.041632678   0.0008223368212361           0.06806585          18.64424095
         "BPM.30L5.B1"        "BPM.29L5.B1"              8734.45           8787.89862                    5          0.096201592   0.0008984344893707           0.19647466           18.7123068
         "BPM.29L5.B1"        "BPM.28L5.B1"             8787.899          8841.347136                    5          0.250272416   0.0009041527763391           0.15536003          18.90878146
         "BPM.28L5.B1"        "BPM.27L5.B1"             8841.347          8894.795652                    5          0.111838044    0.001331853934254            0.0800813          19.06414149
         "BPM.27L5.B1"        "BPM.26L5.B1"             8894.796          8948.244168                    5           0.04329064   0.0003732981269247           0.06805537          19.14422279
         "BPM.26L5.B1"        "BPM.25L5.B1"             8948.244          9001.692684                    5           0.09708684   0.0006798759230003           0.19643229          19.21227816
         "BPM.25L5.B1"        "BPM.24L5.B1"             9001.693            9055.1412                    5           0.25066204    0.001212945588304           0.15540182          19.40871045
         "BPM.24L5.B1"        "BPM.23L5.B1"             9055.141          9108.589716                    5          0.109753316   0.0008474945326059           0.08009236          19.56411227
         "BPM.23L5.B1"        "BPM.22L5.B1"              9108.59          9162.038232                    5          0.043320834   0.0009385881990828           0.06804491          19.64420463
         "BPM.22L5.B1"        "BPM.21L5.B1"             9162.038          9215.486748                    5           0.09889897    0.001188685260922           0.19638991          19.71224954
         "BPM.21L5.B1"        "BPM.20L5.B1"             9215.487          9268.935264                    5          0.248983452    0.001753612970471           0.15544359          19.90863945
         "BPM.20L5.B1"        "BPM.19L5.B1"             9268.935          9322.383779                    5          0.107166152     0.00155511295873           0.08010343          20.06408304
         "BPM.19L5.B1"        "BPM.18L5.B1"             9322.384          9375.832295                    5           0.04314427   0.0008040704909394           0.06803445          20.14418647
         "BPM.18L5.B1"        "BPM.17L5.B1"             9375.832          9429.280811                    5          0.097267996    0.001077683762056           0.19634751          20.21222092
         "BPM.17L5.B1"        "BPM.16L5.B1"             9429.281          9482.729327                    5            0.2500849   0.0003177001747735           0.15548537          20.40856843
         "BPM.16L5.B1"        "BPM.15L5.B1"             9482.729          9536.177843                    5          0.109273154   0.0005047027083213           0.08011451           20.5640538
         "BPM.15L5.B1"        "BPM.14L5.B1"             9536.178          9589.626359                    5          0.042789374    0.001473341908505             0.068024          20.64416831
         "BPM.14L5.B1"        "BPM.13L5.B1"             9589.626          9643.074875                    5          0.097760602    0.001185279101572            0.1963051          20.71219231
         "BPM.13L5.B1"        "BPM.12L5.B1"             9643.075          9696.523391                    5          0.243472012    0.001307569900686           0.15305448          20.90849741
         "BPM.12L5.B1"        "BPM.11L5.B1"             9696.523          9749.971907                    5          0.114607452   0.0008681898336778           0.07953649          21.06155189
         "BPM.11L5.B1"        "BPM.10L5.B1"             9749.972          9802.752617                    5          0.035562824    0.000672541439197           0.05192009          21.14108838
         "BPM.10L5.B1"         "BPM.9L5.B1"             9802.753          9841.817628                    5          0.031047646   0.0006939488102152           0.06897205          21.19300847
          "BPM.9L5.B1"         "BPM.8L5.B1"             9841.818          9882.280639                    5          0.174930136    0.002329439714007           0.22994594          21.26198052
          "BPM.8L5.B1"        "BPMR.7L5.B1"             9882.281          9921.346649                    5         0.2729607422    0.002783251559644           0.16835349          21.49192646
         "BPMR.7L5.B1"         "BPM.6L5.B1"             9921.347          9958.240649                    5         0.0371778638    0.001469442684795           0.06292106          21.66027995
          "BPM.6L5.B1"        "BPMR.5L5.B1"             9958.241          9990.140649                    5          0.406566318     0.00113955650901           0.38219263          21.72320101
         "BPMR.5L5.B1"       "BPMYA.4L5.B1"             9990.141          10017.54665                    5          0.027038062    0.001498085364727           0.02207697          22.10539364
        "BPMYA.4L5.B1"       "BPMWB.4L5.B1"             10017.55          10038.68115                    5    0.006897686000004   0.0001908468680637    0.005991130000002          22.12747061
        "BPMWB.4L5.B1"       "BPMSY.4L5.B1"             10038.68          10131.40115                    5    0.005496799999998   0.0002507173197188    0.005957169999999          22.13346174
        "BPMSY.4L5.B1"        "BPMS.2L5.B1"              10131.4          10158.24665                    5   0.0009049159999981   0.0001894411322871    0.001257519999999          22.13941891
         "BPMS.2L5.B1"       "BPMSW.1L5.B1"             10158.25          10168.21165                    5   0.0006000560000021   0.0002060957499684   0.0008100500000019          22.14067643
        "BPMSW.1L5.B1"       "BPMSW.1R5.B1"             10168.21          10211.33965                    5          0.496294424   0.0002512199023279           0.49555256          22.14148648
        "BPMSW.1R5.B1"        "BPMS.2R5.B1"             10211.34          10221.30465                    5    0.000482923999998   0.0002116381005967   0.0006301799999981          22.63703904
         "BPMS.2R5.B1"       "BPMSY.4R5.B1"              10221.3          10248.03015                    5   0.0006554980000025   0.0002802451417124   0.0008436200000013          22.63766922
        "BPMSY.4R5.B1"       "BPMWB.4R5.B1"             10248.03          10340.87015                    5    0.004786609999999   0.0002644398069382            0.0050709          22.63851284
        "BPMWB.4R5.B1"       "BPMYA.4R5.B1"             10340.87          10362.00265                    5    0.001327315999998   0.0002032403790374    0.001421749999999          22.64358374
        "BPMYA.4R5.B1"         "BPM.5R5.B1"                10362          10383.12065                    5          0.002278802   0.0003417080156894    0.002247990000001          22.64500549
          "BPM.5R5.B1"        "BPMR.6R5.B1"             10383.12          10415.02065                    5    0.009702198600002   0.0008489816867855    0.008176550000002          22.64725348
         "BPMR.6R5.B1"       "BPM_A.7R5.B1"             10415.02          10449.03465                    5         0.0547537974     0.00136055687189           0.04154691          22.65543003
        "BPM_A.7R5.B1"         "BPM.8R5.B1"             10449.03          10490.47364                    5          0.306798396    0.001818901613202           0.23802632          22.69697694
          "BPM.8R5.B1"         "BPM.9R5.B1"             10490.47          10529.54063                    5          0.069586788   0.0006389577275889           0.13276394          22.93500326
          "BPM.9R5.B1"        "BPM.10R5.B1"             10529.54          10570.00562                    5          0.043088032   0.0005887826912977           0.06315749           23.0677672
         "BPM.10R5.B1"        "BPM.11R5.B1"             10570.01          10622.78831                    5          0.079422842   0.0004770365338458           0.06663758          23.13092469
         "BPM.11R5.B1"        "BPM.12R5.B1"             10622.79          10677.51479                    5          0.289197768   3.758806898607e-05           0.21273327          23.19756227
         "BPM.12R5.B1"        "BPM.13R5.B1"             10677.51          10730.96627                    5          0.086468818   0.0007182859332844           0.15471815          23.41029554
         "BPM.13R5.B1"        "BPM.14R5.B1"             10730.97          10784.41776                    5          0.058201796   0.0005197990829724           0.07975898          23.56501369
         "BPM.14R5.B1"        "BPM.15R5.B1"             10784.42          10837.86924                    5          0.091745362    0.001680182696617           0.06838185          23.64477267
         "BPM.15R5.B1"        "BPM.16R5.B1"             10837.87          10891.32073                    5          0.268465124     0.00147142379289           0.19773805          23.71315452
         "BPM.16R5.B1"        "BPM.17R5.B1"             10891.32          10944.77221                    5           0.08308897    0.000359859082652            0.1541214          23.91089257
         "BPM.17R5.B1"        "BPM.18R5.B1"             10944.77           10998.2237                    5          0.057505416   0.0001627941912036            0.0797587          24.06501397
         "BPM.18R5.B1"        "BPM.19R5.B1"             10998.22          11051.67518                    5          0.100559034    0.001554902703176           0.06838185          24.14477267
         "BPM.19R5.B1"        "BPM.20R5.B1"             11051.68          11105.12666                    5           0.26083264    0.001995923278878           0.19773805          24.21315452
         "BPM.20R5.B1"        "BPM.21R5.B1"             11105.13          11158.57815                    5          0.082003206    0.000920493755482            0.1541214          24.41089257
         "BPM.21R5.B1"        "BPM.22R5.B1"             11158.58          11212.02963                    5          0.056813546   0.0006802799234564            0.0797587          24.56501397
         "BPM.22R5.B1"        "BPM.23R5.B1"             11212.03          11265.48112                    5          0.103805458    0.001034310636131           0.06838185          24.64477267
         "BPM.23R5.B1"        "BPM.24R5.B1"             11265.48           11318.9326                    5          0.261784484   0.0007064025816505           0.19773805          24.71315452
         "BPM.24R5.B1"        "BPM.25R5.B1"             11318.93          11372.38408                    5          0.078777668   0.0007610075290586            0.1541214          24.91089257
         "BPM.25R5.B1"        "BPM.26R5.B1"             11372.38          11425.83557                    5          0.057102268   0.0007972641951552            0.0797587          25.06501397
         "BPM.26R5.B1"        "BPM.27R5.B1"             11425.84          11479.28705                    5           0.10261707    0.001841836508824           0.06838185          25.14477267
         "BPM.27R5.B1"        "BPM.28R5.B1"             11479.29          11532.73854                    5           0.25870226    0.002347814963486           0.19773805          25.21315452
         "BPM.28R5.B1"        "BPM.29R5.B1"             11532.74          11586.19002                    5          0.080879066   0.0006779233548114            0.1541214          25.41089257
         "BPM.29R5.B1"        "BPM.30R5.B1"             11586.19           11639.6415                    5          0.057974418   0.0003675536089058            0.0797587          25.56501397
         "BPM.30R5.B1"        "BPM.31R5.B1"             11639.64          11693.09299                    5          0.097368448   0.0009281472123093           0.06838185          25.64477267
         "BPM.31R5.B1"        "BPM.32R5.B1"             11693.09          11746.54447                    5          0.262231136    0.001187107466124           0.19773805          25.71315452
         "BPM.32R5.B1"        "BPM.33R5.B1"             11746.54          11799.99596                    5           0.08024974   0.0006610755441374            0.1541214          25.91089257
         "BPM.33R5.B1"        "BPM.34R5.B1"                11800          11853.44744                    5          0.059401834   0.0003514848372913            0.0797587          26.06501397
         "BPM.34R5.B1"        "BPM.33L6.B1"             11853.45          11906.89893                    5          0.098278638   0.0007743716277448           0.06838185          26.14477267
         "BPM.33L6.B1"        "BPM.32L6.B1"              11906.9          11960.35041                    5           0.26092736   0.0005381402017987           0.19773805          26.21315452
         "BPM.32L6.B1"        "BPM.31L6.B1"             11960.35          12013.80189                    5           0.08145638       0.001469928181            0.1541214          26.41089257
         "BPM.31L6.B1"        "BPM.29L6.B1"              12013.8          12120.70486                    5          0.153607584    0.002024211457354           0.14814055          26.56501397
         "BPM.29L6.B1"        "BPM.28L6.B1"              12120.7          12174.15635                    5          0.262881428    0.001664355214753           0.19773805          26.71315452
         "BPM.28L6.B1"        "BPM.27L6.B1"             12174.16          12227.60783                    5          0.081661396    0.001012014981739            0.1541214          26.91089257
         "BPM.27L6.B1"        "BPM.26L6.B1"             12227.61          12281.05931                    5          0.058610068     0.00101980120566            0.0797587          27.06501397
         "BPM.26L6.B1"        "BPM.25L6.B1"             12281.06           12334.5108                    5          0.094267424    0.001475271088631           0.06838185          27.14477267
         "BPM.25L6.B1"        "BPM.24L6.B1"             12334.51          12387.96228                    5           0.26392864    0.001098218485104           0.19773805          27.21315452
         "BPM.24L6.B1"        "BPM.23L6.B1"             12387.96          12441.41377                    5          0.083700396   0.0008862462512308            0.1541214          27.41089257
         "BPM.23L6.B1"        "BPM.22L6.B1"             12441.41          12494.86525                    5          0.057334086   0.0007236766472207            0.0797587          27.56501397
         "BPM.22L6.B1"        "BPM.21L6.B1"             12494.87          12548.31673                    5          0.093881948    0.001725451617012           0.06838185          27.64477267
         "BPM.21L6.B1"        "BPM.20L6.B1"             12548.32          12601.76822                    5          0.266219566    0.001868503024879           0.19773805          27.71315452
         "BPM.20L6.B1"        "BPM.19L6.B1"             12601.77           12655.2197                    5          0.082794662     0.00128215521625            0.1541214          27.91089257
         "BPM.19L6.B1"        "BPM.18L6.B1"             12655.22          12708.67119                    5          0.058993204   0.0009394739015994            0.0797587          28.06501397
         "BPM.18L6.B1"        "BPM.17L6.B1"             12708.67          12762.12267                    5          0.095889058   0.0003012859182671           0.06838185          28.14477267
         "BPM.17L6.B1"        "BPM.16L6.B1"             12762.12          12815.57415                    5           0.26442892   0.0006868454334539           0.19773805          28.21315452
         "BPM.16L6.B1"        "BPM.15L6.B1"             12815.57          12869.02564                    5          0.083269254   0.0009554741336485            0.1541214          28.41089257
         "BPM.15L6.B1"        "BPM.14L6.B1"             12869.03          12922.47712                    5          0.058026058   0.0005016371889022            0.0797587          28.56501397
         "BPM.14L6.B1"        "BPM.13L6.B1"             12922.48          12975.92861                    5          0.102372294   0.0005872965119826           0.06838185          28.64477267
         "BPM.13L6.B1"        "BPM.12L6.B1"             12975.93          13029.38009                    5          0.259190614   0.0005698518339735           0.19888065          28.71315452
         "BPM.12L6.B1"        "BPM.11L6.B1"             13029.38          13082.83158                    5          0.088519922   0.0006873439337555           0.16711502          28.91203517
         "BPM.11L6.B1"        "BPM.10L6.B1"             13082.83          13134.67226                    5          0.066544776   0.0004439798450497           0.08281464          29.07915019
         "BPM.10L6.B1"         "BPM.8L6.B1"             13134.67          13214.20424                    5           0.42345841   0.0006162724004799           0.40237023          29.16196483
          "BPM.8L6.B1"       "BPMYA.5L6.B1"              13214.2          13311.29423                    5         0.0676435582    0.001901759584378           0.09055735          29.56433506
        "BPMYA.5L6.B1"       "BPMYB.4L6.B1"             13311.29          13347.69423                    5         0.0224245698    0.001564897255406           0.01860335          29.65489241
        "BPMYB.4L6.B1"      "BPMSX.B4L6.B1"             13347.69          13383.23473                    5            0.0127077   0.0006028532143352    0.009563719999999          29.67349576
       "BPMSX.B4L6.B1"      "BPMSX.A4L6.B1"             13383.23          13383.81973                    5   0.0005680099999998   0.0002814677440426   0.0001770800000003          29.68305948
       "BPMSX.A4L6.B1"       "BPMSA.4R6.B1"             13383.82          13568.51473                    5          0.227460456    0.001243691323958            0.1259114          29.68323656
        "BPMSA.4R6.B1"       "BPMYA.4R6.B1"             13568.51          13691.29423                    5          0.109792508    0.001109016136538           0.14712768          29.80914796
        "BPMYA.4R6.B1"       "BPMYB.5R6.B1"             13691.29          13727.69423                    5    0.009090215999997   0.0002344919994545           0.01812809          29.95627564
        "BPMYB.5R6.B1"         "BPM.8R6.B1"             13727.69          13823.42122                    5        0.08524510782    0.001057670110844           0.14238844          29.97440373
          "BPM.8R6.B1"         "BPM.9R6.B1"             13823.42          13862.48821                    5        0.25260447618   0.0008096884895306           0.16570308          30.11679217
          "BPM.9R6.B1"        "BPM.10R6.B1"             13862.49           13902.9532                    5            0.1124783   0.0009283032989822           0.10883502          30.28249525
         "BPM.10R6.B1"        "BPM.11R6.B1"             13902.95          13954.79389                    5          0.085061228   0.0009310373913185            0.1499822          30.39133027
         "BPM.11R6.B1"        "BPM.12R6.B1"             13954.79          14009.52037                    5          0.074262768   0.0007455455869404           0.10881624          30.54131247
         "BPM.12R6.B1"        "BPM.13R6.B1"             14009.52          14062.97186                    5          0.223818954     0.00127895139822            0.1315448          30.65012871
         "BPM.13R6.B1"        "BPM.14R6.B1"             14062.97          14116.42334                    5          0.122562206   0.0005961557674613           0.11737421          30.78167351
         "BPM.14R6.B1"        "BPM.15R6.B1"             14116.42          14169.87483                    5          0.077164418    0.000741679502888           0.13868649          30.89904772
         "BPM.15R6.B1"        "BPM.16R6.B1"             14169.87          14223.32631                    5          0.080419928   0.0004598344622567           0.11846725          31.03773421
         "BPM.16R6.B1"        "BPM.17R6.B1"             14223.33          14276.77779                    5          0.245696818   0.0006474006616021           0.14495239          31.15620146
         "BPM.17R6.B1"        "BPM.18R6.B1"             14276.78          14330.22928                    5           0.10753136   0.0005747311637199           0.11672424          31.30115385
         "BPM.18R6.B1"        "BPM.19R6.B1"             14330.23          14383.68076                    5          0.075936356   0.0008252656809683           0.13892261          31.41787809
         "BPM.19R6.B1"        "BPM.20R6.B1"             14383.68          14437.13225                    5          0.090758628   0.0008185320723113            0.1191075           31.5568007
         "BPM.20R6.B1"        "BPM.21R6.B1"             14437.13          14490.58373                    5           0.24690309    0.001296175595303           0.14461081           31.6759082
         "BPM.21R6.B1"        "BPM.22R6.B1"             14490.58          14544.03522                    5          0.095105382    0.000617365198902           0.11613858          31.82051901
         "BPM.22R6.B1"        "BPM.23R6.B1"             14544.04           14597.4867                    5           0.07754749   0.0008038854054085           0.13980817          31.93665759
         "BPM.23R6.B1"        "BPM.24R6.B1"             14597.49          14650.93818                    5          0.101658754    0.002056798640841           0.11670593          32.07646576
         "BPM.24R6.B1"        "BPM.25R6.B1"             14650.94          14704.38967                    5            0.2370544    0.002503770091717           0.14005219          32.19317169
         "BPM.25R6.B1"        "BPM.26R6.B1"             14704.39          14757.84115                    5           0.09055442   0.0009429152525366            0.1161216          32.33322388
         "BPM.26R6.B1"        "BPM.27R6.B1"             14757.84          14811.29264                    5           0.07615683   0.0008364400278631           0.13986196          32.44934548
         "BPM.27R6.B1"        "BPM.28R6.B1"             14811.29          14864.74412                    5          0.111061236    0.001158039306798           0.11671917          32.58920744
         "BPM.28R6.B1"        "BPM.29R6.B1"             14864.74           14918.1956                    5          0.237293078    0.001405805144819           0.13999707          32.70592661
         "BPM.29R6.B1"        "BPM.30R6.B1"              14918.2          14971.64709                    5     0.08120130000001    0.001248720888888           0.11611228          32.84592368
         "BPM.30R6.B1"        "BPM.31R6.B1"             14971.65          15025.09857                    5          0.078069244    0.001129878338589           0.13991786          32.96203596
         "BPM.31R6.B1"        "BPM.32R6.B1"              15025.1          15078.55006                    5          0.121061622    0.001310854370613           0.11672468          33.10195382
         "BPM.32R6.B1"        "BPM.33R6.B1"             15078.55          15132.00154                    5           0.23152858    0.001499616382091           0.13994062           33.2186785
         "BPM.33R6.B1"        "BPM.34R6.B1"                15132          15185.45302                    5           0.07575886   0.0006811404972686           0.11611071          33.35861912
         "BPM.34R6.B1"        "BPM.33L7.B1"             15185.45          15238.90451                    5          0.078582804    0.000888349694385           0.13997444          33.47472983
         "BPM.33L7.B1"        "BPM.32L7.B1"              15238.9          15292.35599                    5          0.134858662    0.002681976843589           0.11672233          33.61470427
         "BPM.32L7.B1"        "BPM.31L7.B1"             15292.36          15345.80748                    5         0.2202400264    0.002531111033225           0.13988427           33.7314266
         "BPM.31L7.B1"        "BPM.30L7.B1"             15345.81          15399.25896                    5         0.0726058016   0.0008438824756883           0.11611693          33.87131087
         "BPM.30L7.B1"        "BPM.29L7.B1"             15399.26          15452.71045                    5         0.0791428078   0.0008291021419546           0.14003026           33.9874278
         "BPM.29L7.B1"        "BPM.28L7.B1"             15452.71          15506.16193                    5         0.1505675982    0.001458904351376           0.11671217          34.12745806
         "BPM.28L7.B1"        "BPM.27L7.B1"             15506.16          15559.61341                    5           0.20552329    0.001516657931172           0.13982947          34.24417023
         "BPM.27L7.B1"        "BPM.26L7.B1"             15559.61           15613.0649                    5             0.070209    0.000332597172392           0.11613079           34.3839997
         "BPM.26L7.B1"        "BPM.25L7.B1"             15613.06          15666.51638                    5          0.083454306   0.0007940307061124            0.1400839          34.50013049
         "BPM.25L7.B1"        "BPM.24L7.B1"             15666.52          15719.96787                    5          0.166524854    0.002098903276184           0.11669447          34.64021439
         "BPM.24L7.B1"        "BPM.23L7.B1"             15719.97          15773.41935                    5          0.188751232    0.001655801871442            0.1397776          34.75690886
         "BPM.23L7.B1"        "BPM.22L7.B1"             15773.42          15826.87083                    5          0.067594148     0.00091195803786           0.11615193          34.89668646
         "BPM.22L7.B1"        "BPM.21L7.B1"             15826.87          15880.32232                    5          0.087289626   0.0005307665518075           0.14013398          35.01283839
         "BPM.21L7.B1"        "BPM.20L7.B1"             15880.32           15933.7738                    5          0.188152014    0.002552789229188           0.11999609          35.15297237
         "BPM.20L7.B1"        "BPM.19L7.B1"             15933.77          15987.22529                    5           0.16804668    0.002064491953676           0.14323024          35.27296846
         "BPM.19L7.B1"        "BPM.18L7.B1"             15987.23          16040.67677                    5     0.06513433999999   0.0005827877589316            0.1154414           35.4161987
         "BPM.18L7.B1"        "BPM.17L7.B1"             16040.68          16094.12825                    5         0.0900243118   0.0005801319838381           0.14076028           35.5316401
         "BPM.17L7.B1"        "BPM.16L7.B1"             16094.13          16147.57974                    5         0.2033706482    0.001313673565364            0.1202629          35.67240038
         "BPM.16L7.B1"        "BPM.15L7.B1"             16147.58          16201.03122                    5          0.150691274    0.001079420928687           0.14255125          35.79266328
         "BPM.15L7.B1"        "BPM.14L7.B1"             16201.03          16254.48271                    5     0.06322337999999   0.0007452887591294           0.11525963          35.93521453
         "BPM.14L7.B1"        "BPM.13L7.B1"             16254.48          16307.93419                    5     0.09845595000001    0.001261764390459           0.14145314          36.05047416
         "BPM.13L7.B1"        "BPM.12L7.B1"             16307.93          16361.38567                    5          0.215276376     0.00219494706187           0.11966795           36.1919273
         "BPM.12L7.B1"        "BPM.11L7.B1"             16361.39          16414.83716                    5           0.13243061    0.001632900837513           0.13968408          36.31159525
         "BPM.11L7.B1"        "BPM.10L7.B1"             16414.84          16467.61985                    5          0.050948222   0.0008065961716324           0.09587495          36.45127933
         "BPM.10L7.B1"         "BPM.9L7.B1"             16467.62          16506.68684                    5          0.051714518   0.0009476161216882           0.08859521          36.54715428
          "BPM.9L7.B1"         "BPM.8L7.B1"             16506.69          16547.15183                    5          0.061731108   0.0009475378366735           0.06712283          36.63574949
          "BPM.8L7.B1"         "BPM.7L7.B1"             16547.15          16586.21782                    5          0.136436662    0.001683670125437            0.0763441          36.70287232
          "BPM.7L7.B1"         "BPM.6L7.B1"             16586.22          16621.03582                    5          0.109920046    0.001932103682283           0.06292321          36.77921642
          "BPM.6L7.B1"       "BPMWC.6L7.B1"             16621.04          16633.13832                    5         0.0410450316    0.001665824955222           0.04278616          36.84213963
        "BPMWC.6L7.B1"       "BPMWE.5L7.B1"             16633.14          16710.19232                    5         0.0756273944    0.001248112987415           0.11540576          36.88492579
        "BPMWE.5L7.B1"        "BPMW.5L7.B1"             16710.19          16733.39732                    5    0.005811236000005   0.0005960381625258            0.0117775          37.00033155
         "BPMW.5L7.B1"       "BPMWE.4L7.B1"              16733.4          16768.48232                    5          0.018706088    0.001356970515914           0.03446974          37.01210905
        "BPMWE.4L7.B1"        "BPMW.4L7.B1"             16768.48          16796.58732                    5          0.039814842    0.001203358596131     0.07083735000001          37.04657879
         "BPMW.4L7.B1"        "BPMW.4R7.B1"             16796.59          16912.63432                    5          0.182892962    0.001004806735266           0.15080943          37.11741614
         "BPMW.4R7.B1"       "BPMWE.4R7.B1"             16912.63          16940.73932                    5           0.02638137   0.0009347765054414           0.01201014          37.26822557
        "BPMWE.4R7.B1"        "BPMW.5R7.B1"             16940.74          16975.82432                    5           0.06130851     0.00185023021886           0.03271645          37.28023571
         "BPMW.5R7.B1"       "BPMWE.5R7.B1"             16975.82          16999.02932                    5     0.07605392999999    0.001320323748242           0.05872184          37.31295216
